Complexity,Loss,Equation
1,1.2389999999999994,"2.6350000000484712"
3,0.4846249999999999,"4.759999999697051 - rank"
4,0.29897228241512197,"4.303806391514706 - sqrt(C2)"
5,0.1467069282684263,"(4.153490592536814 / df) + rr"
6,0.13890497655234263,"5.847749998984558 / (sqrt(rank) + 1.0997958071324854)"
7,0.13153980992800135,"2.3486820971738687 - ((C2 + -2.9535710755691587) / df)"
8,0.10098695899174306,"1.8113361635172989 - ((exp(lnZ) + -4.4404649413776776) / df)"
10,0.0749033276693136,"(5.360421735745697 / df) - ((-0.1822501311493008 - log(rr)) * rank)"
11,0.02972837566020272,"((4.407310946182176 / df) - -0.8220173786340372) - (lnZ * (C2 - df))"
12,0.021887979830629036,"5.262177000182103 / (df - ((log(df - rank) + 0.32098333668539003) * rank))"
13,0.013818328553696094,"(4.173045177587682 / df) - (-1.103218186235009 - (lnZ * ((df + -0.2574109426767883) - C2)))"
14,0.010940488891645334,"(4.6118389057551425 / df) - (-0.6790843324500968 - (log(df - rank) * (lnZ + 0.32665009193564754)))"
15,0.009712370362032497,"(4.241528626393993 / df) - (-1.0839089267464952 - (lnZ * ((df - (nroots * 0.3159548649799804)) + -2.207226276517608)))"
16,0.00858859731960704,"(4.200719829018725 / exp(rank)) - (-1.1244857879565227 - ((df + (-1.3892610079518701 - (nroots * 0.35242182215191425))) * lnZ))"
17,0.0014241258899001417,"(4.036917873489335 / df) - (-1.2817052143883163 - ((lnZ / rr) * ((df - (nroots * 0.3057915787187431)) + -2.355613903832601)))"
18,0.001207125461675039,"(4.037329630180628 / exp(rank)) - (-1.2665682980988615 - ((((df + -1.389161692395295) - (nroots * 0.3550492013753669)) * lnZ) / 1.2205252905441184))"
