Complexity,Loss,Equation
1,0.016161263,"0.16093339"
3,0.0010626045,"3.902864 / bb"
5,0.00073585607,"5.313147 / (bb + 4.1863947)"
7,0.0007240029,"(4.724896 / (bb + 2.9176137)) - -0.009408437"
10,0.0007136708,"log(LL / 0.25406736) / ((LL + bb) * 0.52876985)"
11,0.0006951707,"(log(square(LL)) + 2.0464473) / (bb + (LL - 1.1563908))"
12,0.0006947325,"log(LL / 0.30450034) / ((bb + (LL - 0.9844856)) * 0.5261787)"
13,0.0006806736,"((log(square(LL)) + 1.3436236) / (bb + (LL - 2.7197082))) - -0.010663624"
16,0.0006774613,"(log((2.7753508 - (LL * -3.4544857)) * LL) / (LL + (bb - 2.584828))) + 0.010256334"
18,0.0006772826,"(log((bb / 2.6488247) - (LL * (LL * -3.9182625))) / (LL + (bb - 2.6488247))) + 0.0063341227"
19,0.00067681575,"(log((bb / sqrt(LL)) - ((LL * LL) * -3.9182625)) / (LL + (bb - 2.6488247))) + 0.0063341227"
20,0.00067632156,"(log(((bb / LL) + 3.2762365) - (LL * (LL * -3.5339856))) / (bb + (LL - 2.8027067))) + 0.009019827"
22,0.0006763026,"(log(((bb / LL) + 2.6240702) - (((LL * 1.1013368) * LL) * -3.472159)) / (LL + (bb - 2.6417441))) + 0.008255134"
27,0.000673408,"(log(square(((1.6252006 / ((LL * LL) - 2.0820494)) * bb) + -0.70704514) - ((LL * -6.107299) * LL)) / (LL + (bb - 1.7938207))) + 0.0008639543"
28,0.00065652665,"(log(((bb / (((LL - 2.1526463) * (LL * -3.0708532)) + (bb / LL))) - (LL * -4.8276935)) * LL) / (LL + (bb - 2.265245))) + 0.0068650213"
30,0.00065634184,"(log(((bb / ((bb / LL) + ((LL - 2.130723) * (LL * -3.08425)))) - (LL * -4.745848)) * LL) / (((LL - 0.18958822) + bb) - 2.1206753)) + 0.0070244675"
