Complexity,Loss,Equation
1,5.7302,"Nc"
2,2.428509,"4.3931804"
3,0.25567603,"square(log(L))"
4,0.16505615,"L * 0.56007344"
5,0.14648001,"L - (L / Nc)"
7,0.0065715774,"L * (sqrt(Nc) * 0.35268468)"
9,0.0028780422,"((Nc - -3.2062807) * L) * 0.09746049"
10,0.00287804,"(L * sqrt(Nc - -0.37509882)) * 0.3292428"
12,0.0027365326,"((L + 0.06489074) * (Nc - -3.2096722)) * 0.0966876"
14,0.0027103466,"((L * 0.09500716) + (Nc * 0.0025145658)) * (Nc - -3.309008)"
15,0.0022678317,"(sqrt(L) + (L + -1.2485594)) * ((Nc - -3.2181587) * 0.081651)"
17,0.0020065627,"((-0.006519487 / (5.576732 - L)) + 0.67606443) * (L - (L / square(Nc)))"
19,0.00053457817,"(L + (((-0.103241935 / ((L + -3.0532832) - Nc)) - L) / square(Nc))) * 0.67736363"
20,0.00047729828,"((L - (L / square(Nc))) * 0.6760379) + (0.043284956 / ((L + 3.283129) - square(Nc)))"
22,0.0003404347,"(((-0.03447399 / ((L / square(Nc)) + (5.179106 - L))) + L) - (L / square(Nc))) * 0.6764113"
24,0.00033318918,"((-0.032129966 / (L * ((L / square(Nc)) + (5.1433873 - L)))) + 0.6763917) * (L - (L / square(Nc)))"
25,0.00033165645,"neg(((0.030209905 / (((L / square(Nc)) + (5.1557446 - L)) * L)) + -0.67639774) * (L - (L / square(Nc))))"
26,0.00031749308,"((0.016326044 / ((Nc - L) * ((5.1377277 - L) + (L / square(Nc))))) + 0.6768111) * (L - (L / square(Nc)))"
27,0.00031701248,"neg((L - (L / square(Nc))) * ((-0.015975835 / ((((L / square(Nc)) + 5.1425624) - L) * (Nc - L))) + -0.6768032))"
28,0.0002858503,"((exp(Nc) * (-0.0005389172 / ((4.96559 - L) + (L / square(Nc))))) + 0.6733749) * (L + ((0.12290306 - L) / square(Nc)))"
29,0.0002719602,"((L - (L / square(Nc))) * ((0.021559872 / (((L / square(Nc)) + (5.0565414 - L)) * (Nc - L))) + 0.67263246)) - -0.03198567"
30,0.0002719145,"((L - (L / square(Nc))) * neg((-0.021434367 / ((Nc - L) * (((L / square(Nc)) - L) + 5.0588307))) + -0.67273074)) - -0.031221626"
