Complexity,Loss,Equation
1,0.15566884,"invNc"
2,0.006444595,"0.6461529"
3,0.0055357497,"log(sqrt(Nc))"
4,0.00130174,"0.930244 - invNc"
5,0.0008102622,"sqrt(Nc * 0.110422805)"
6,0.0006277485,"log(log(Nc - -3.0708754))"
7,0.00023960522,"(Nc2 * 0.007823577) - -0.5206029"
8,0.00023274883,"square((Nc2 * -0.004631286) + -0.7274805)"
9,0.00022509205,"0.51166874 - ((Nc2 + primeZ) * -0.008090844)"
10,0.0002218606,"square(0.7227052 - ((primeZ + Nc2) * -0.004808746))"
11,0.00018440711,"((Nc2 * 0.007087102) + 0.5425082) - square(square(invNc))"
12,0.00013990153,"((Nc2 * 0.0075927284) + 0.5263209) - (Nc / exp(Nc2))"
13,5.07971e-5,"((invNc - (exp(Nc) * 0.0009933533)) / -2.5837626) + 0.7176234"
14,8.6146565e-6,"(Nc2 * 0.014452073) + (((-3.7596424 / Nc2) + 1.8379725) / Nc)"
15,8.431277e-6,"(Nc2 * 0.014138738) + (square((-1.7431548 / Nc2) + 1.3872173) / Nc)"
