D,h,Cl_cyc,rk_2,rats_predicted
-19995,32,"[8, 2, 2]",3,8
-19987,16,"[8, 2]",2,4
-19972,32,"[32]",1,2
-19947,16,"[4, 4]",2,4
-19924,32,"[16, 2]",2,4
-19812,32,"[8, 2, 2]",3,8
-19720,32,"[8, 2, 2]",3,8
-19711,128,"[128]",1,2
-19635,32,"[4, 2, 2, 2]",4,16
-19608,32,"[8, 2, 2]",3,8
-19560,32,"[8, 2, 2]",3,8
-19412,64,"[32, 2]",2,4
-19411,32,"[16, 2]",2,4
-19380,32,"[4, 2, 2, 2]",4,16
-19364,64,"[32, 2]",2,4
-19320,32,"[4, 2, 2, 2]",4,16
-19299,32,"[16, 2]",2,4
-19272,32,"[8, 2, 2]",3,8
-19240,32,"[4, 4, 2]",3,8
-19227,32,"[8, 2, 2]",3,8
-19195,16,"[8, 2]",2,4
-19176,64,"[16, 2, 2]",3,8
-19147,16,"[16]",1,2
-19108,32,"[8, 4]",2,4
-19095,128,"[32, 2, 2]",3,8
-19047,64,"[32, 2]",2,4
-19019,64,"[16, 2, 2]",3,8
-19011,32,"[32]",1,2
-18995,32,"[16, 2]",2,4
-18952,32,"[16, 2]",2,4
-18907,16,"[8, 2]",2,4
-18883,16,"[16]",1,2
-18879,128,"[32, 2, 2]",3,8
-18872,64,"[16, 4]",2,4
-18840,64,"[16, 2, 2]",3,8
-18808,32,"[32]",1,2
-18760,32,"[8, 2, 2]",3,8
-18715,16,"[8, 2]",2,4
-18676,32,"[8, 2, 2]",3,8
-18655,64,"[16, 2, 2]",3,8
-18632,64,"[16, 4]",2,4
-18580,32,"[16, 2]",2,4
-18564,64,"[8, 2, 2, 2]",4,16
-18532,32,"[8, 4]",2,4
-18487,64,"[32, 2]",2,4
-18420,64,"[16, 2, 2]",3,8
-18408,32,"[8, 2, 2]",3,8
-18403,16,"[8, 2]",2,4
-18323,32,"[32]",1,2
-18308,64,"[32, 2]",2,4
-18295,64,"[64]",1,2
-18291,32,"[8, 2, 2]",3,8
-18219,32,"[32]",1,2
-18111,64,"[64]",1,2
-18039,128,"[64, 2]",2,4
-18020,64,"[16, 2, 2]",3,8
-17995,32,"[16, 2]",2,4
-17963,32,"[16, 2]",2,4
-17924,64,"[64]",1,2
-17899,32,"[32]",1,2
-17880,32,"[8, 2, 2]",3,8
-17864,64,"[16, 2, 2]",3,8
-17795,32,"[32]",1,2
-17780,64,"[16, 2, 2]",3,8
-17731,32,"[16, 2]",2,4
-17699,64,"[64]",1,2
-17688,32,"[8, 2, 2]",3,8
-17656,32,"[32]",1,2
-17608,32,"[16, 2]",2,4
-17535,64,"[16, 2, 2]",3,8
